algorithm,iteration,conflicts,unknown,notConflicts,percentColored
MIP,0,0,40,0,0.0
MIP,1,0,40,0,0.15
MIP,2,0,38,2,0.2
MIP,3,1,34,5,0.35
MIP,4,1,30,9,0.5
MIP,5,1,24,15,0.55
MIP,6,3,19,18,0.65
MIP,7,4,17,19,0.7
MIP,8,3,14,23,0.75
MIP,9,2,14,24,0.75
MIP,10,1,14,25,0.75
MIP,11,4,8,28,0.85
MIP,12,9,8,23,0.85
MIP,13,10,8,22,0.85
MIP,14,7,5,28,0.9
MIP,15,6,5,29,0.9
MIP,16,6,5,29,0.9
MIP,17,4,5,31,0.9
MIP,18,5,5,30,0.9
MIP,19,5,2,33,0.95
MIP,20,7,2,31,0.95
