algorithm,iteration,conflicts,unknown,notConflicts,percentColored
MostChanged,68,7,7,26,0.9
MostChanged,69,7,7,26,0.9
MostChanged,70,7,7,26,0.9
MostChanged,71,6,7,27,0.9
MostChanged,72,7,7,26,0.9
MostChanged,73,7,7,26,0.9
MostChanged,74,7,7,26,0.9
MostChanged,75,7,7,26,0.9
MostChanged,76,6,7,27,0.9
MostChanged,77,5,7,28,0.9
MostChanged,78,5,7,28,0.9
MostChanged,79,5,7,28,0.9
MostChanged,80,5,7,28,0.9
MostChanged,81,5,7,28,0.9
MostChanged,82,5,7,28,0.9
MostChanged,83,5,7,28,0.9
MostChanged,84,5,7,28,0.9
MostChanged,85,5,7,28,0.9
MostChanged,86,5,7,28,0.9
MostChanged,87,5,7,28,0.9
MostChanged,88,5,7,28,0.9
MostChanged,89,5,7,28,0.9
MostChanged,90,5,7,28,0.9
MostChanged,91,8,2,30,0.95
MostChanged,92,8,2,30,0.95
MostChanged,93,8,2,30,0.95
MostChanged,94,8,2,30,0.95
MostChanged,95,8,2,30,0.95
MostChanged,96,8,2,30,0.95
MostChanged,97,11,2,27,0.95
MostChanged,98,8,2,30,0.95
MostChanged,99,8,2,30,0.95
MostChanged,100,8,2,30,0.95
MostChanged,101,8,2,30,0.95
MIP,0,0,40,0,0.0
MIP,1,0,38,2,0.15
MIP,2,0,37,3,0.2
MIP,3,0,33,7,0.35
MIP,4,0,27,13,0.5
MIP,5,0,22,18,0.6
MIP,6,1,18,21,0.7
MIP,7,2,18,20,0.7
MIP,8,3,14,23,0.75
MIP,9,5,14,21,0.75
MIP,10,5,12,23,0.8
MIP,11,5,12,23,0.8
MIP,12,6,12,22,0.8
MIP,13,5,12,23,0.8
MIP,14,8,12,20,0.8
MIP,15,7,12,21,0.8
MIP,16,6,12,22,0.8
MIP,17,7,12,21,0.8
MIP,18,6,12,22,0.8
MIP,19,6,12,22,0.8
MIP,20,7,10,23,0.85
MIP,21,8,10,22,0.85
MIP,22,9,10,21,0.85
MIP,23,8,10,22,0.85
MIP,24,8,10,22,0.85
MIP,25,6,10,24,0.85
MIP,26,9,10,21,0.85
MIP,27,9,10,21,0.85
MIP,28,7,10,23,0.85
MIP,29,9,10,21,0.85
MIP,30,8,10,22,0.85
MIP,31,8,10,22,0.85
MIP,32,8,10,22,0.85
MIP,33,11,10,19,0.85
MIP,34,10,10,20,0.85
MIP,35,9,10,21,0.85
MIP,36,9,10,21,0.85
MIP,37,8,10,22,0.85
MIP,38,8,10,22,0.85
MIP,39,8,10,22,0.85
MIP,40,10,10,20,0.85
MIP,41,10,10,20,0.85
MIP,42,8,10,22,0.85
MIP,43,7,10,23,0.85
MIP,44,7,10,23,0.85
MIP,45,9,10,21,0.85
MIP,46,10,10,20,0.85
MIP,47,10,10,20,0.85
MIP,48,8,10,22,0.85
MIP,49,8,10,22,0.85
MIP,50,8,10,22,0.85
MIP,51,10,10,20,0.85
MIP,52,8,10,22,0.85
MIP,53,8,10,22,0.85
MIP,54,8,10,22,0.85
MIP,55,8,10,22,0.85
MIP,56,10,10,20,0.85
MIP,57,10,10,20,0.85
MIP,58,9,10,21,0.85
MIP,59,9,10,21,0.85
MIP,60,9,10,21,0.85
MIP,61,9,10,21,0.85
MIP,62,8,10,22,0.85
MIP,63,9,10,21,0.85
