algorithm,iteration,conflicts,unknown,notConflicts,percentColored
<MIP.Mip instance at 0x04A71580>,0,0,34,0,0.0
<MIP.Mip instance at 0x04A71580>,1,1,33,0,0.2
<MIP.Mip instance at 0x04A71580>,2,1,31,2,0.3333333333333333
<MIP.Mip instance at 0x04A71580>,3,5,24,5,0.5333333333333333
<MIP.Mip instance at 0x04A71580>,4,5,24,5,0.5333333333333333
<MIP.Mip instance at 0x04A71580>,5,2,24,8,0.5333333333333333
<MIP.Mip instance at 0x04A71580>,6,2,22,10,0.6
<MIP.Mip instance at 0x04A71580>,7,3,17,14,0.6666666666666666
<MIP.Mip instance at 0x04A71580>,8,3,17,14,0.6666666666666666
<MIP.Mip instance at 0x04A71580>,9,3,15,16,0.7333333333333333
<MIP.Mip instance at 0x04A71580>,10,3,15,16,0.7333333333333333
<MIP.Mip instance at 0x04A71580>,11,4,15,15,0.7333333333333333
<MIP.Mip instance at 0x04A71580>,12,7,15,12,0.7333333333333333
<MIP.Mip instance at 0x04A71580>,13,3,15,16,0.7333333333333333
<MIP.Mip instance at 0x04A71580>,14,1,15,18,0.7333333333333333
<MIP.Mip instance at 0x04A71580>,15,4,15,15,0.7333333333333333
<MIP.Mip instance at 0x04A71580>,16,4,12,18,0.8
<MIP.Mip instance at 0x04A71580>,17,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,18,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,19,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,20,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,21,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,22,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,23,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,24,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,25,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,26,3,12,19,0.8
<MIP.Mip instance at 0x04A71580>,27,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,28,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,29,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,30,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,31,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,32,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,33,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,34,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,35,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,36,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,37,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,38,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,39,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,40,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,41,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,42,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,43,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,44,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,45,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,46,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,47,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,48,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,49,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,50,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,51,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,52,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,53,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,54,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,55,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,56,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,57,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,58,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,59,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,60,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,61,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,62,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,63,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,64,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,65,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,66,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,67,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,68,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,69,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,70,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,71,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,72,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,73,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,74,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,75,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,76,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,77,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,78,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,79,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,80,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,81,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,82,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,83,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,84,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,85,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,86,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,87,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,88,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,89,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,90,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,91,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,92,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,93,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,94,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,95,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,96,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,97,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,98,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,99,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,100,2,12,20,0.8
<MIP.Mip instance at 0x04A71580>,101,2,12,20,0.8
